Essential Genes	Chokepoint Reactions	Essential chokepoint genes
tr_Q9RS71_Q9RS71_DEIRA	NARK	sp_Q9RYX0_PDXY_DEIRA
tr_Q9RWW3_Q9RWW3_DEIRA	L_LACtex	tr_Q9RX59_Q9RX59_DEIRA
tr_Q9RR67_Q9RR67_DEIRA	MN2t3pp	tr_Q9RXB8_Q9RXB8_DEIRA
sp_Q9RYV5_NADE_DEIRA	IPPS	tr_Q9RUP1_Q9RUP1_DEIRA
sp_Q9RX54_COAX_DEIRA	EX_o2_e	sp_Q9RWM6_METK_DEIRA
tr_Q9RX38_Q9RX38_DEIRA	TNTtex	tr_Q9RU07_Q9RU07_DEIRA
tr_Q9RYN8_Q9RYN8_DEIRA	PAPPT3	tr_Q9RTK8_Q9RTK8_DEIRA
tr_Q9RXZ9_Q9RXZ9_DEIRA	METOX1s	sp_Q9RVD3_AROA_DEIRA
tr_Q9RYC1_Q9RYC1_DEIRA	SELR	tr_Q9RXQ2_Q9RXQ2_DEIRA
tr_Q9RWT6_Q9RWT6_DEIRA	FBA	sp_Q9RR60_ENO_DEIRA
sp_Q9RS38_KGUA_DEIRA	INOSR	sp_Q9RW93_AROK_DEIRA
sp_Q9RXL3_MURE_DEIRA	EX_dgmp_e	tr_Q9RUI5_Q9RUI5_DEIRA
sp_Q9RSI9_DEOB_DEIRA	EX_slnt_e	sp_Q9RX61_UPPP_DEIRA
sp_Q9RRJ1_NDK_DEIRA	METSabc	sp_Q9RU81_PYRH_DEIRA
sp_Q9RVA6_MURA_DEIRA	4HBZt3pp	sp_Q9RWN9_MURC_DEIRA
tr_Q9RXE0_Q9RXE0_DEIRA	GF6PTA	sp_Q9RR89_ISPE_DEIRA
sp_Q9RRJ4_MURD_DEIRA	O2tex	tr_Q9RYC1_Q9RYC1_DEIRA
sp_Q9RWN9_MURC_DEIRA	MMSAD1	sp_Q9RRG7_DCTA_DEIRA
sp_Q9RWN8_MURB_DEIRA	NAMNPP	spontaneous
tr_Q9RX10_Q9RX10_DEIRA	EX_26dap__M_e	tr_Q9RTM4_Q9RTM4_DEIRA
sp_Q9RV97_ILVD_DEIRA	AHSERL	sp_Q9RU10_MURI_DEIRA
